Order_ID,Order_Date,Delivery_Date,Expected_Delivery,Delivery_Status,Payment_Mode,Payment_Status,Month_Name,Month_Number,Quarter,Year,Calendar_YearMonth,Distributor_Code,Distributor_Name,City,Zone,Tier,Owner_Name,Phone,GST_Number,Credit_Limit,Years_Active,DS_ID,DS_Name,DS_Type,Beat_Name,Outlet_Name,Outlet_Type,Channel_Type,SKU_Code,SKU_Name,Sub_Category,Category,SBU,MRP,Cost_Price,Distributor_Price,Quantity,Discount_Pct,Unit_Selling_Price,Gross_Value,Net_Sales_Value,Margin_Value,Target_Value,Is_Return,Gross_Margin_Pct,Achievement_Pct
ORD000011,2024-01-20,2024-01-25,2024-01-23,Delivered,Cheque,Paid,January,1,Q1,2024,2024-01,DT1013,MULLAI ENTERPRISES,Kanchipuram,North,Tier 3,Satheesh Kumar,9853045678,33FICTD1013M1Z7,50000,2,DS006,LOGANATHAN,ROC Pace Route,KURIUR GR2,KAVERI TRADERS,Premium Grocery,Retail,BLOSOM-TLC200,BODY TALC 200G,BODY TALC,BODY TALC,PERSONAL CARE,155,100.75,134.85,50.7,5.1,127.97,7858.5,6488.08,1380.05,7585.07,No,21.3,85.5
ORD000012,2024-01-06,2024-01-07,2024-01-09,Delivered,Cash,Paid,January,1,Q1,2024,2024-01,DT1012,BHARATHI DISTRIBUTORS,Thanjavur,Central,Tier 3,Durai Pandian,9852034567,33FICTD1012M1Z3,50000,5,DS001,VIGNESH K,2W Route Common,VALLUR MAIN,VENNILA KIRANA,Grocery,Retail,PURIS-VALUE10,VALUE SACHET,BATH SOAP,BATH SOAP,PERSONAL CARE,13,8.45,11.31,32.0,5.0,10.74,416.0,343.68,73.28,375.31,No,21.3,91.6
ORD000013,2024-01-15,,2024-01-18,Cancelled,NEFT,Refunded,January,1,Q1,2024,2024-01,DT1008,PONNI WHOLESALE,Erode,West,Tier 2,Murugan Natarajan,9848090123,33FICTD1008M1Z9,75000,5,DS016,SIVAKKOLUNDHU,2W Route B,PALLIUR ROC,VENNILA KIRANA,Mini Market,Counter,ZESTO-LUXE-M,LUXE PARFUM MEN 120ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,310,201.5,269.7,36.6,6.6,251.9,11346.0,9219.54,1844.64,10418.46,No,20.0,88.5
ORD000014,2024-01-10,,2024-01-13,In Transit,UPI,Pending,January,1,Q1,2024,2024-01,DT1014,VASANTHAM TRADERS,Nagercoil,South,Tier 3,Bharath Murugan,9854056789,33FICTD1014M1Z4,50000,4,DS020,THANDAVAN,Common Pace Route,MARANGUR GR,VAANI GENERAL STORE,Premium Grocery,Retail,FOAMX-SG100,SHOWER GEL 100ML,SHOWER GEL,SHOWER GEL,PERSONAL CARE,138,89.7,120.06,9.5,3.6,115.74,1311.0,1099.53,247.38,1157.78,No,22.5,95.0
ORD000015,2024-01-02,2024-01-07,2024-01-05,Delivered,Credit,Paid,January,1,Q1,2024,2024-01,DT1011,SELVARAJ AGENCIES,Dindigul,South,Tier 3,Prabu Selvam,9851023456,33FICTD1011M1Z5,50000,3,DS008,NITHYANANDAM,Counter Route,NANMAIUR ROUTE,SUBHA PROVISION,Rural Wholesale,Rural Wholesale,FLMSTK-CB01,CLASSIC BOX,FLAME STICKS,FLAME STICKS,HOME ESSENTIALS,10,6.5,8.7,25.5,6.4,8.14,255.0,207.57,41.82,235.86,No,20.1,88.0
ORD000016,2024-01-04,,2024-01-07,In Transit,UPI,Pending,January,1,Q1,2024,2024-01,DT1009,KAVITHA TRADERS,Tiruppur,West,Tier 2,Karthik Pillai,9849001234,33FICTD1009M1Z8,75000,4,DS009,MUTHURAMAN,2W Route Common,ARUR SOUTH GR2,KOTHAI SUPER STORE,Town Wholesale,Town Wholesale,SHINEZ-SD500,SURFACE DISINFECTANT 500ML,SURFACE CARE,SURFACE CARE,HOME CARE,185,120.25,160.95,45.1,1.4,158.7,8343.5,7157.37,1734.09,8748.19,No,24.2,81.8
ORD000017,2024-01-14,,2024-01-17,In Transit,NEFT,Pending,January,1,Q1,2024,2024-01,DT1015,KURINJI AGENCIES,Hosur,North,Tier 3,Loganathan Krishnan,9855067890,33FICTD1015M1Z6,50000,3,DS016,SIVAKKOLUNDHU,2W Route B,PONGIUR GR2,GANGA GENERAL STORE,Counter Shop,Counter,PURIS-GLOW75,GLOW BAR 75G,BATH SOAP,BATH SOAP,PERSONAL CARE,60,39.0,52.2,8.5,6.2,48.96,510.0,416.16,84.66,446.89,No,20.3,93.1
ORD000018,2024-01-14,2024-01-17,2024-01-17,Delivered,Cheque,Paid,January,1,Q1,2024,2024-01,DT1011,SELVARAJ AGENCIES,Dindigul,South,Tier 3,Prabu Selvam,9851023456,33FICTD1011M1Z5,50000,3,DS017,VAITHIYANATHAN,Counter Route,INNAMUR NORTH,SELVI SUPER STORE,Rural Wholesale,Rural Wholesale,ZESTO-LUXE-M,LUXE PARFUM MEN 120ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,310,201.5,269.7,16.5,7.0,250.82,5115.0,4138.53,813.78,4459.24,No,19.7,92.8
ORD000019,2024-01-06,2024-01-07,2024-01-09,Delivered,Cheque,Paid,January,1,Q1,2024,2024-01,DT1007,THIRUMARAN AGENCIES,Vellore,North,Tier 2,Anand Subramanian,9847089012,33FICTD1007M1Z1,75000,3,DS020,THANDAVAN,Common Pace Route,NEITHALUR ROC,NIRMALA KIRANA,Hotel & Restaurant,Key Accounts,ZESTO-SPORT-M,SPORT BLAST MEN 150ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,250,162.5,217.5,10.5,4.3,208.15,2625.0,2185.58,479.33,2472.74,No,21.9,88.4
ORD000020,2024-01-19,2024-01-23,2024-01-22,Delivered,Cheque,Paid,January,1,Q1,2024,2024-01,DT1014,VASANTHAM TRADERS,Nagercoil,South,Tier 3,Bharath Murugan,9854056789,33FICTD1014M1Z4,50000,4,DS008,NITHYANANDAM,Counter Route,THUPUR ROUTE,PAAVAI GENERAL STORE,Convenience Store,Convenience,SHINEZ-FC500,FLOOR CLEAN 500ML,FLOOR CLEANER,FLOOR CLEANER,HOME CARE,112,72.8,97.44,20.9,6.1,91.5,2340.8,1912.35,390.83,2129.68,No,20.4,89.8
ORD000021,2024-01-19,2024-01-22,2024-01-22,Delivered,Credit,Paid,January,1,Q1,2024,2024-01,DT1014,VASANTHAM TRADERS,Nagercoil,South,Tier 3,Bharath Murugan,9854056789,33FICTD1014M1Z4,50000,4,DS012,KARUPPASAMY,2W Route Common,MARANGUR GR,SUBHA PROVISION,Counter Shop,Counter,GUARDIA-HS100,HAND SANITIZER 100ML,HAND SANITIZER,HAND SANITIZER,PERSONAL CARE,82,53.3,71.34,35.1,1.6,70.2,2878.2,2464.02,593.19,2905.12,No,24.1,84.8
ORD000022,2024-01-05,,2024-01-08,Cancelled,Credit,Refunded,January,1,Q1,2024,2024-01,DT1014,VASANTHAM TRADERS,Nagercoil,South,Tier 3,Bharath Murugan,9854056789,33FICTD1014M1Z4,50000,4,DS007,CHELVAN P,2W Route B,VETRIUR ROC B,SUBHA PROVISION,Hotel & Restaurant,Key Accounts,SHINEZ-FC500,FLOOR CLEAN 500ML,FLOOR CLEANER,FLOOR CLEANER,HOME CARE,112,72.8,97.44,35.2,6.4,91.2,3942.4,3210.24,647.68,3456.93,No,20.2,92.9
ORD000023,2024-01-08,,2024-01-11,Cancelled,NEFT,Refunded,January,1,Q1,2024,2024-01,DT1009,KAVITHA TRADERS,Tiruppur,West,Tier 2,Karthik Pillai,9849001234,33FICTD1009M1Z8,75000,4,DS015,PERIYANNAN,ROC Pace Route,SEMPUR ROUTE,VENNILA KIRANA,Convenience Store,Convenience,ZESTO-PKT-W,POCKET SPRAY WOMEN 18ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,85,55.25,73.95,37.8,7.6,68.33,3213.0,2582.87,494.42,3209.47,No,19.1,80.5
ORD000024,2024-01-03,,2024-01-06,Cancelled,Credit,Refunded,January,1,Q1,2024,2024-01,DT1013,MULLAI ENTERPRISES,Kanchipuram,North,Tier 3,Satheesh Kumar,9853045678,33FICTD1013M1Z7,50000,2,DS001,VIGNESH K,2W Route Common,VENDUR ROUTE,YAMUNA TRADERS,Mini Market,Counter,PURIS-GUARD75,GUARD SOAP 75G,BATH SOAP,BATH SOAP,PERSONAL CARE,56,36.4,48.72,5.6,4.9,46.33,313.6,259.45,55.61,282.32,No,21.4,91.9
ORD000025,2024-01-28,,2024-01-31,Pending,NEFT,Pending,January,1,Q1,2024,2024-01,DT1013,MULLAI ENTERPRISES,Kanchipuram,North,Tier 3,Satheesh Kumar,9853045678,33FICTD1013M1Z7,50000,2,DS009,MUTHURAMAN,2W Route Common,KURIUR NORTH,THIRAI PROVISION,Rural Wholesale,Rural Wholesale,DIVYA-DHOOP,DHOOP STICKS,AGARBATTI,AGARBATTI,HOME ESSENTIALS,72,46.8,62.64,43.6,3.5,60.45,3139.2,2635.62,595.14,2868.9,No,22.6,91.9
ORD000026,2024-01-19,2024-01-21,2024-01-22,Delivered,Cash,Paid,January,1,Q1,2024,2024-01,DT1014,VASANTHAM TRADERS,Nagercoil,South,Tier 3,Bharath Murugan,9854056789,33FICTD1014M1Z4,50000,4,DS003,DURAI M,2W Route Common,KODIUR BEAT,VALLI KIRANA,Dual Outlet,Retail,PURIS-GLOW75,GLOW BAR 75G,BATH SOAP,BATH SOAP,PERSONAL CARE,60,39.0,52.2,40.0,4.7,49.75,2400.0,1990.0,430.0,2346.2,No,21.6,84.8
ORD000027,2024-01-04,2024-01-07,2024-01-07,Delivered,Cash,Overdue,January,1,Q1,2024,2024-01,DT1004,SENTHOOR ENTERPRISES,Tiruchirappalli,Central,Tier 1,Ramesh Murugan,9844056789,33FICTD1004M1Z2,125000,6,DS010,PANDIARAJAN,ROC Route Pace,VAANUR GR2,YAMUNA TRADERS,Rural Wholesale,Rural Wholesale,ZESTO-LUXE-M,LUXE PARFUM MEN 120ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,310,201.5,269.7,32.3,2.7,262.42,10013.0,8476.17,1967.72,10296.03,No,23.2,82.3
ORD000028,2024-01-17,2024-01-19,2024-01-20,Delivered,Cash,Overdue,January,1,Q1,2024,2024-01,DT1005,PANDIYAN DISTRIBUTORS,Salem,West,Tier 2,Dinesh Krishnan,9845067890,33FICTD1005M1Z4,100000,4,DS005,BHARATH G,Grocery 2 Route,KUZHIPUR ROUTE,VENNILA KIRANA,Premium Grocery,Retail,FOAMX-SG200,SHOWER GEL 200ML,SHOWER GEL,SHOWER GEL,PERSONAL CARE,255,165.75,221.85,28.2,5.6,209.43,7191.0,5905.93,1231.78,7076.13,No,20.9,83.5
ORD000029,2024-01-20,,2024-01-23,Cancelled,UPI,Refunded,January,1,Q1,2024,2024-01,DT1003,MUTHTHU MARKETING,Madurai,South,Tier 1,Ganesh Selvam,9843045678,33FICTD1003M1Z7,150000,9,DS008,NITHYANANDAM,Counter Route,KAVERIUR ROC,PONNI GENERAL STORE,Rural Wholesale,Rural Wholesale,SHINEZ-FC1L,FLOOR CLEAN 1 LTR,FLOOR CLEANER,FLOOR CLEANER,HOME CARE,190,123.5,165.3,21.9,3.4,159.68,4161.0,3496.99,792.34,4004.25,No,22.7,87.3
ORD000030,2024-01-22,,2024-01-25,Pending,Cash,Pending,January,1,Q1,2024,2024-01,DT1012,BHARATHI DISTRIBUTORS,Thanjavur,Central,Tier 3,Durai Pandian,9852034567,33FICTD1012M1Z3,50000,5,DS015,PERIYANNAN,ROC Pace Route,AAZHIUR ROC,PAAVAI GENERAL STORE,Counter Shop,Counter,PURIS-GUARD75,GUARD SOAP 75G,BATH SOAP,BATH SOAP,PERSONAL CARE,56,36.4,48.72,28.4,0.3,48.57,1590.4,1379.39,345.63,1700.06,No,25.1,81.1
ORD000031,2024-01-12,2024-01-13,2024-01-15,Delivered,NEFT,Paid,January,1,Q1,2024,2024-01,DT1007,THIRUMARAN AGENCIES,Vellore,North,Tier 2,Anand Subramanian,9847089012,33FICTD1007M1Z1,75000,3,DS016,SIVAKKOLUNDHU,2W Route B,NEITHALUR ROC,PREETHI TRADERS,Counter Shop,Counter,SHINEZ-FC500,FLOOR CLEAN 500ML,FLOOR CLEANER,FLOOR CLEANER,HOME CARE,112,72.8,97.44,49.6,4.4,93.15,5555.2,4620.24,1009.36,5033.24,No,21.8,91.8
ORD000032,2024-01-10,,2024-01-13,Cancelled,Cash,Refunded,January,1,Q1,2024,2024-01,DT1010,THAMIZHAN MARKETING,Thoothukudi,South,Tier 2,Senthil Raja,9850012345,33FICTD1010M1Z2,50000,6,DS005,BHARATH G,Grocery 2 Route,THAMIZHUR MAIN,NIRMALA KIRANA,Grocery,Retail,FLMSTK-CB01,CLASSIC BOX,FLAME STICKS,FLAME STICKS,HOME ESSENTIALS,10,6.5,8.7,36.3,0.7,8.64,363.0,313.63,77.68,359.4,No,24.8,87.3
ORD000033,2024-01-10,,2024-01-13,In Transit,NEFT,Pending,January,1,Q1,2024,2024-01,DT1009,KAVITHA TRADERS,Tiruppur,West,Tier 2,Karthik Pillai,9849001234,33FICTD1009M1Z8,75000,4,DS008,NITHYANANDAM,Counter Route,NANNUR ROC,PREETHI TRADERS,Rural Wholesale,Rural Wholesale,CLEANOZ-PWDR,POWDER HAND WASH 100G,HAND WASH,HAND WASH,PERSONAL CARE,82,53.3,71.34,3.3,1.7,70.13,270.6,231.43,55.54,276.67,No,24.0,83.6
ORD000034,2024-01-02,2024-01-07,2024-01-05,Delivered,UPI,Overdue,January,1,Q1,2024,2024-01,DT1012,BHARATHI DISTRIBUTORS,Thanjavur,Central,Tier 3,Durai Pandian,9852034567,33FICTD1012M1Z3,50000,5,DS010,PANDIARAJAN,ROC Route Pace,AAZHIUR ROC,THIRAI PROVISION,Medical Shop,Retail,ZESTO-PKT-W,POCKET SPRAY WOMEN 18ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,85,55.25,73.95,27.7,2.8,71.88,2354.5,1991.08,460.65,2150.73,No,23.1,92.6
ORD000035,2024-01-26,,2024-01-29,In Transit,UPI,Pending,January,1,Q1,2024,2024-01,DT1006,AZHAGIRI SUPPLIERS,Tirunelveli,South,Tier 2,Vijay Arumugam,9846078901,33FICTD1006M1Z6,100000,8,DS011,GOVINDASAMY,SWD Route,PAZHAIUR GR2,MALAI KIRANA,Convenience Store,Convenience,GUARDIA-HS100,HAND SANITIZER 100ML,HAND SANITIZER,HAND SANITIZER,PERSONAL CARE,82,53.3,71.34,50.2,0.8,70.77,4116.4,3552.65,876.99,4073.73,No,24.7,87.2
ORD000036,2024-01-12,2024-01-16,2024-01-15,Delivered,Cheque,Paid,January,1,Q1,2024,2024-01,DT1007,THIRUMARAN AGENCIES,Vellore,North,Tier 2,Anand Subramanian,9847089012,33FICTD1007M1Z1,75000,3,DS014,SOUNDARARAJAN,Grocery 2 Route,NILUR EAST GR,PARI GENERAL STORE,Premium Grocery,Retail,FLMSTK-WX40,WAX PREMIUM 40S,FLAME STICKS,FLAME STICKS,HOME ESSENTIALS,12,7.8,10.44,21.4,2.0,10.23,256.8,218.92,52.0,244.86,No,23.8,89.4
ORD000037,2024-01-21,,2024-01-24,In Transit,NEFT,Pending,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,9841023456,33FICTD1001M1Z5,200000,7,DS020,THANDAVAN,Common Pace Route,VAIGAI ROUTE,SUBHA PROVISION,Mini Market,Counter,BLOSOM-TLC200,BODY TALC 200G,BODY TALC,BODY TALC,PERSONAL CARE,155,100.75,134.85,42.7,4.1,129.32,6618.5,5521.96,1219.93,6548.57,No,22.1,84.3
ORD000038,2024-01-28,,2024-01-31,Cancelled,UPI,Refunded,January,1,Q1,2024,2024-01,DT1008,PONNI WHOLESALE,Erode,West,Tier 2,Murugan Natarajan,9848090123,33FICTD1008M1Z9,75000,5,DS016,SIVAKKOLUNDHU,2W Route B,PURATHIUR BEAT,KOTHAI SUPER STORE,Grocery,Retail,FOAMX-SG200,SHOWER GEL 200ML,SHOWER GEL,SHOWER GEL,PERSONAL CARE,255,165.75,221.85,42.9,5.1,210.54,10939.5,9032.17,1921.49,10959.78,No,21.3,82.4
ORD000039,2024-01-03,2024-01-07,2024-01-06,Delivered,UPI,Paid,January,1,Q1,2024,2024-01,DT1015,KURINJI AGENCIES,Hosur,North,Tier 3,Loganathan Krishnan,9855067890,33FICTD1015M1Z6,50000,3,DS004,SATHEESH R,Common Pace Route,THANDAIUR ROC,AMUDHA GENERAL STORE,Medical Shop,Retail,GUARDIA-HS200,HAND SANITIZER 200ML,HAND SANITIZER,HAND SANITIZER,PERSONAL CARE,138,89.7,120.06,24.5,6.0,112.86,3381.0,2765.07,567.42,3340.52,No,20.5,82.8
ORD000040,2024-01-01,2024-01-06,2024-01-04,Delivered,Cash,Paid,January,1,Q1,2024,2024-01,DT1012,BHARATHI DISTRIBUTORS,Thanjavur,Central,Tier 3,Durai Pandian,9852034567,33FICTD1012M1Z3,50000,5,DS013,THIYAGARAJAN,Common Pace Route,THIRUPUR ROUTE,THIRAI PROVISION,Dual Outlet,Retail,HELIX-AL100,ANTISEPTIC LIQUID 100ML,ANTISEPTIC,ANTISEPTIC,PERSONAL CARE,78,50.7,67.86,36.6,7.2,62.97,2854.8,2304.7,449.08,2495.42,No,19.5,92.4
ORD000041,2024-01-06,2024-01-08,2024-01-09,Delivered,Credit,Paid,January,1,Q1,2024,2024-01,DT1013,MULLAI ENTERPRISES,Kanchipuram,North,Tier 3,Satheesh Kumar,9853045678,33FICTD1013M1Z7,50000,2,DS009,MUTHURAMAN,2W Route Common,KURIUR NORTH,THENDRAL STORES,Medical Shop,Retail,FLMSTK-CB01,CLASSIC BOX,FLAME STICKS,FLAME STICKS,HOME ESSENTIALS,10,6.5,8.7,14.3,0.6,8.65,143.0,123.7,30.75,153.77,No,24.9,80.4
ORD000042,2024-01-18,2024-01-19,2024-01-21,Delivered,Cheque,Paid,January,1,Q1,2024,2024-01,DT1015,KURINJI AGENCIES,Hosur,North,Tier 3,Loganathan Krishnan,9855067890,33FICTD1015M1Z6,50000,3,DS012,KARUPPASAMY,2W Route Common,PONGIUR NORTH,NANDHINI PROVISION,Medical Shop,Retail,HELIX-AL100,ANTISEPTIC LIQUID 100ML,ANTISEPTIC,ANTISEPTIC,PERSONAL CARE,78,50.7,67.86,40.1,6.5,63.45,3127.8,2544.35,511.28,2965.05,No,20.1,85.8
ORD000043,2024-01-09,,2024-01-12,Pending,Cash,Pending,January,1,Q1,2024,2024-01,DT1010,THAMIZHAN MARKETING,Thoothukudi,South,Tier 2,Senthil Raja,9850012345,33FICTD1010M1Z2,50000,6,DS008,NITHYANANDAM,Counter Route,THAMIZHUR MAIN,NILA PROVISION,Medical Shop,Retail,GUARDIA-HS100,HAND SANITIZER 100ML,HAND SANITIZER,HAND SANITIZER,PERSONAL CARE,82,53.3,71.34,-46.4,1.9,69.98,-3804.8,-3247.07,0.0,3694.33,Yes,-0.0,87.9
ORD000044,2024-01-03,,2024-01-06,Cancelled,NEFT,Refunded,January,1,Q1,2024,2024-01,DT1004,SENTHOOR ENTERPRISES,Tiruchirappalli,Central,Tier 1,Ramesh Murugan,9844056789,33FICTD1004M1Z2,125000,6,DS003,DURAI M,2W Route Common,SANGAMUR ROUTE,VALLI KIRANA,Counter Shop,Counter,PURIS-VALUE10,VALUE SACHET,BATH SOAP,BATH SOAP,PERSONAL CARE,13,8.45,11.31,0.6,0.6,11.24,7.8,6.74,1.67,8.18,No,24.8,82.4
ORD000045,2024-01-20,,2024-01-23,Pending,Cheque,Pending,January,1,Q1,2024,2024-01,DT1004,SENTHOOR ENTERPRISES,Tiruchirappalli,Central,Tier 1,Ramesh Murugan,9844056789,33FICTD1004M1Z2,125000,6,DS007,CHELVAN P,2W Route B,VAANUR GR2,VIMALA SUPER STORE,Beauty Counter,Counter,SHINEZ-SD500,SURFACE DISINFECTANT 500ML,SURFACE CARE,SURFACE CARE,HOME CARE,185,120.25,160.95,33.5,6.1,151.13,6197.5,5062.85,1034.48,6077.89,No,20.4,83.3
ORD000046,2024-01-07,2024-01-11,2024-01-10,Delivered,Cash,Paid,January,1,Q1,2024,2024-01,DT1005,PANDIYAN DISTRIBUTORS,Salem,West,Tier 2,Dinesh Krishnan,9845067890,33FICTD1005M1Z4,100000,4,DS005,BHARATH G,Grocery 2 Route,SELVANUR GR2,GANGA GENERAL STORE,Mini Market,Counter,HELIX-AL100,ANTISEPTIC LIQUID 100ML,ANTISEPTIC,ANTISEPTIC,PERSONAL CARE,78,50.7,67.86,-49.0,5.8,63.92,-3822.0,-3132.08,0.0,3461.32,Yes,-0.0,90.5
ORD000047,2024-01-19,,2024-01-22,Cancelled,Credit,Refunded,January,1,Q1,2024,2024-01,DT1007,THIRUMARAN AGENCIES,Vellore,North,Tier 2,Anand Subramanian,9847089012,33FICTD1007M1Z1,75000,3,DS006,LOGANATHAN,ROC Pace Route,KADUPUR BEAT,YAMUNA TRADERS,Counter Shop,Counter,HELIX-AL100,ANTISEPTIC LIQUID 100ML,ANTISEPTIC,ANTISEPTIC,PERSONAL CARE,78,50.7,67.86,14.1,2.1,66.43,1099.8,936.66,221.79,1011.04,No,23.7,92.6
